,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2258,2010-04-05T02,65.76,55.64,9.81,0.7,0.0,1020.63,7.55,269.0,,clear-night,Clear,2010,04
2259,2010-04-05T03,63.96,55.27,9.51,0.73,0.0,1020.5,4.84,258.0,,clear-night,Clear,2010,04
2260,2010-04-05T04,61.26,54.45,9.46,0.78,0.0,1020.63,3.0,252.0,,clear-night,Clear,2010,04
2261,2010-04-05T05,61.04,55.03,9.07,0.81,0.0,1020.91,5.94,261.0,,clear-night,Clear,2010,04
2262,2010-04-05T06,59.68,54.75,9.08,0.84,0.0,1021.25,4.96,251.0,,clear-night,Clear,2010,04
2263,2010-04-05T07,58.06,54.56,8.92,0.88,0.0,1022.04,7.92,309.0,,clear-night,Clear,2010,04
2264,2010-04-05T08,58.29,54.91,6.93,0.89,0.0,1022.97,4.95,310.0,,clear-day,Clear,2010,04
2265,2010-04-05T09,64.93,58.35,8.5,0.79,0.0,1023.6,2.05,275.0,,clear-day,Clear,2010,04
2266,2010-04-05T10,70.82,59.89,9.39,0.68,0.0,1023.77,6.52,288.0,,clear-day,Clear,2010,04
2267,2010-04-05T11,75.19,59.25,9.94,0.58,0.0,1023.87,3.99,290.0,,clear-day,Clear,2010,04
2268,2010-04-05T12,78.11,58.49,10.0,0.51,0.0,1023.64,8.77,267.0,,clear-day,Clear,2010,04
2269,2010-04-05T13,80.39,53.98,9.89,0.4,0.0,1022.85,8.66,275.0,,clear-day,Clear,2010,04
2270,2010-04-05T14,83.21,54.78,10.0,0.38,0.0,1022.03,7.22,260.0,,clear-day,Clear,2010,04
2271,2010-04-05T15,84.34,54.39,10.0,0.36,0.02,1021.25,3.25,230.0,,clear-day,Clear,2010,04
2272,2010-04-05T16,84.98,54.33,10.0,0.35,0.21,1020.36,3.02,197.0,,clear-day,Clear,2010,04
2273,2010-04-05T17,86.42,54.39,10.0,0.34,0.22,1019.74,5.45,222.0,,clear-day,Clear,2010,04
2274,2010-04-05T18,85.66,52.48,10.0,0.32,0.23,1019.35,7.04,201.0,,clear-day,Clear,2010,04
2275,2010-04-05T19,84.3,52.09,10.0,0.33,0.04,1019.3,8.18,214.0,,clear-day,Clear,2010,04
2276,2010-04-05T20,80.16,50.03,9.96,0.35,0.2,1015.16,7.06,191.0,,clear-night,Clear,2010,04
2277,2010-04-05T21,76.49,52.22,10.0,0.43,0.0,1019.29,3.15,231.0,,clear-night,Clear,2010,04
2278,2010-04-05T22,73.94,53.17,10.0,0.48,0.0,1019.65,5.56,230.0,,clear-night,Clear,2010,04
2279,2010-04-05T23,71.5,52.59,10.0,0.51,0.0,1019.83,4.85,236.0,,clear-night,Clear,2010,04
2280,2010-04-06T00,69.37,51.1,10.0,0.52,0.0,1019.68,6.55,248.0,,clear-night,Clear,2010,04
2281,2010-04-06T01,67.12,50.57,10.0,0.55,0.0,1019.4,3.05,240.0,,clear-night,Clear,2010,04
2282,2010-04-06T02,64.1,50.24,10.0,0.61,0.0,1019.13,2.99,250.0,,clear-night,Clear,2010,04
2283,2010-04-06T03,61.29,50.71,9.9,0.68,0.0,1018.92,4.66,240.0,,clear-night,Clear,2010,04
2284,2010-04-06T04,61.29,49.2,9.65,0.64,0.0,1018.64,4.89,230.0,,clear-night,Clear,2010,04
2285,2010-04-06T05,59.97,48.89,9.75,0.67,0.0,1018.9,4.0,257.0,,clear-night,Clear,2010,04
2286,2010-04-06T06,58.15,49.31,9.61,0.72,0.0,1019.02,3.44,270.0,,clear-night,Clear,2010,04
2287,2010-04-06T07,56.4,49.1,9.66,0.76,0.2,1019.43,2.89,295.0,,clear-night,Clear,2010,04
2288,2010-04-06T08,58.54,50.06,9.25,0.73,0.0,1019.86,3.72,274.0,,clear-day,Clear,2010,04
2289,2010-04-06T09,63.87,53.16,9.65,0.68,0.01,1020.33,4.9,289.0,,clear-day,Clear,2010,04
2290,2010-04-06T10,71.42,53.68,9.8,0.54,0.01,1020.29,8.02,269.0,,clear-day,Clear,2010,04
2291,2010-04-06T11,74.23,52.67,10.0,0.47,0.22,1020.05,7.42,234.0,,clear-day,Clear,2010,04
2292,2010-04-06T12,78.47,53.92,10.0,0.43,0.22,1019.56,7.66,234.0,,clear-day,Clear,2010,04
2293,2010-04-06T13,80.63,54.47,9.97,0.41,0.21,1018.93,13.91,227.0,,clear-day,Clear,2010,04
2294,2010-04-06T14,82.64,54.72,9.93,0.38,0.22,1018.04,8.77,202.0,,clear-day,Clear,2010,04
2295,2010-04-06T15,84.52,53.27,10.0,0.34,0.23,1017.21,9.29,220.0,,clear-day,Clear,2010,04
2296,2010-04-06T16,85.46,52.45,10.0,0.32,0.22,1016.33,12.27,227.0,,clear-day,Clear,2010,04
2297,2010-04-06T17,86.46,49.8,10.0,0.28,0.01,1015.37,12.5,200.0,,clear-day,Clear,2010,04
2298,2010-04-06T18,85.45,49.56,10.0,0.29,0.01,1015.04,8.85,213.0,,clear-day,Clear,2010,04
2299,2010-04-06T19,83.39,49.31,10.0,0.31,0.02,1015.22,9.62,216.0,,clear-day,Clear,2010,04
