CANCELLED,temperature_ORIGIN,dewPoint_ORIGIN,visibility_ORIGIN,humidity_ORIGIN,cloudCover_ORIGIN,pressure_ORIGIN,windSpeed_ORIGIN,windBearing_ORIGIN,DEP_DELAY_ORIGIN_1,DEP_DELAY_ORIGIN_2,DEP_DELAY_ORIGIN_3,DEP_DELAY_ORIGIN_4,DEP_DELAY_ORIGIN_5,DEP_DELAY_ORIGIN_6,DEP_DELAY_ORIGIN_7,DEP_DELAY_ORIGIN_8,DEP_DELAY_ORIGIN_9,DEP_DELAY_ORIGIN_10,DEP_DELAY_ORIGIN_11,DEP_DELAY_ORIGIN_12,DEP_DELAY_ORIGIN_13,DEP_DELAY_ORIGIN_14,DEP_DELAY_ORIGIN_15,DEP_DELAY_ORIGIN_16,DEP_DELAY_ORIGIN_17,DEP_DELAY_ORIGIN_18,DEP_DELAY_ORIGIN_19,DEP_DELAY_ORIGIN_20,DEP_DELAY_CARRIER_1,DEP_DELAY_CARRIER_2,DEP_DELAY_CARRIER_3,DEP_DELAY_CARRIER_4,DEP_DELAY_CARRIER_5,DEP_DELAY_CARRIER_ORIGIN_1,DEP_DELAY_CARRIER_ORIGIN_2,DEP_DELAY_CARRIER_ORIGIN_3,DEP_DELAY_CARRIER_ORIGIN_4,DEP_DELAY_CARRIER_ORIGIN_5,DEP_DELAY_CARRIER_ORIGIN_6,DEP_DELAY_CARRIER_ORIGIN_7,DEP_DELAY_CARRIER_ORIGIN_8,DEP_DELAY_CARRIER_ORIGIN_9,DEP_DELAY_CARRIER_ORIGIN_10,DEP_DELAY_DEST_1,DEP_DELAY_DEST_2,DEP_DELAY_DEST_3,DEP_DELAY_DEST_4,DEP_DELAY_DEST_5,DEP_DELAY_DEST_6,DEP_DELAY_DEST_7,DEP_DELAY_DEST_8,DEP_DELAY_DEST_9,DEP_DELAY_DEST_10,DEP_DELAY_DEST_11,DEP_DELAY_DEST_12,DEP_DELAY_DEST_13,DEP_DELAY_DEST_14,DEP_DELAY_DEST_15,temperature_DEST,dewPoint_DEST,visibility_DEST,humidity_DEST,cloudCover_DEST,pressure_DEST,windSpeed_DEST,windBearing_DEST
0.0,38.81,13.68,8.99,0.35,0.98,1019.17,6.42,260.0,-4.0,43.0,10.0,43.0,-1.0,65.0,48.0,2.0,24.0,18.0,2.0,-2.0,-1.0,31.0,34.0,8.0,0.0,-5.0,57.0,-6.0,1440,1440,1440,1440,1440,4.0,,3.0,-2.0,-4.0,1440,1440,1440,1440,1440,3.0,24.0,14.0,-5.0,2.0,3.0,45.0,19.0,-7.0,232.0,33.0,2.0,-9.0,-5.0,23.0,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
0.0,24.24,9.72,10.0,0.53,0.6,1023.08,14.0,321.0,-2.0,59.0,11.0,58.0,42.0,0.0,101.0,17.0,75.0,10.0,11.0,78.0,87.0,-2.0,6.0,30.0,13.0,-1.0,-3.0,-6.0,1440,1440,1440,1440,1440,12.0,-7.0,-4.0,-4.0,-4.0,1440,1440,1440,1440,1440,2.0,11.0,13.0,6.0,1.0,0.0,14.0,18.0,64.0,0.0,-6.0,95.0,-4.0,-5.0,83.0,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
0.0,24.24,9.72,10.0,0.53,0.6,1023.08,14.0,321.0,-2.0,59.0,11.0,58.0,42.0,0.0,101.0,17.0,75.0,10.0,11.0,78.0,87.0,-2.0,6.0,30.0,13.0,-1.0,-3.0,-6.0,1440,1440,1440,1440,1440,12.0,-7.0,-4.0,-4.0,-4.0,1440,1440,1440,1440,1440,2.0,11.0,13.0,6.0,1.0,0.0,14.0,18.0,64.0,0.0,-6.0,95.0,-4.0,-5.0,83.0,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
0.0,24.24,9.72,10.0,0.53,0.6,1023.08,14.0,321.0,-2.0,59.0,11.0,58.0,42.0,0.0,101.0,17.0,75.0,10.0,11.0,78.0,87.0,-2.0,6.0,30.0,13.0,-1.0,-3.0,-6.0,1440,1440,1440,1440,1440,12.0,-7.0,-4.0,-4.0,-4.0,1440,1440,1440,1440,1440,2.0,11.0,13.0,6.0,1.0,0.0,14.0,18.0,64.0,0.0,-6.0,95.0,-4.0,-5.0,83.0,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
0.0,31.56,13.02,10.0,0.46,0.0,1025.38,10.14,312.0,9.0,-4.0,10.0,46.0,0.0,-10.0,-2.0,-1.0,-4.0,6.0,-2.0,22.0,18.0,-5.0,-4.0,-6.0,-2.0,9.0,12.0,10.0,1440,1440,1440,1440,1440,-5.0,-6.0,,84.0,-10.0,1440,1440,1440,1440,1440,5.0,-2.0,-1.0,-3.0,9.0,-3.0,15.0,-2.0,-4.0,16.0,-3.0,-4.0,-6.0,3.0,3.0,36.01,6.76,10.0,0.29,0.0,1033.38,6.7,9.0
1.0,31.56,13.02,10.0,0.46,0.0,1025.38,10.14,312.0,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,36.01,6.76,10.0,0.29,0.0,1033.38,6.7,9.0
0.0,31.56,13.02,10.0,0.46,0.0,1025.38,10.14,312.0,9.0,-4.0,10.0,46.0,0.0,-10.0,-2.0,-1.0,-4.0,6.0,-2.0,22.0,18.0,-5.0,-4.0,-6.0,-2.0,9.0,12.0,10.0,1440,1440,1440,1440,1440,-5.0,-6.0,,84.0,-10.0,1440,1440,1440,1440,1440,5.0,-2.0,-1.0,-3.0,9.0,-3.0,15.0,-2.0,-4.0,16.0,-3.0,-4.0,-6.0,3.0,3.0,36.01,6.76,10.0,0.29,0.0,1033.38,6.7,9.0
0.0,33.95,12.55,10.0,0.41,0.0,1030.14,11.59,319.0,-1.0,-4.0,30.0,2.0,20.0,-2.0,-6.0,-1.0,-3.0,-2.0,-6.0,2.0,-2.0,14.0,-3.0,-5.0,-1.0,1.0,-4.0,11.0,1440,1440,1440,1440,1440,10.0,0.0,-1.0,-7.0,136.0,1440,1440,1440,1440,1440,44.0,-2.0,9.0,11.0,-2.0,64.0,10.0,-6.0,23.0,100.0,0.0,-6.0,15.0,38.0,10.0,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
0.0,33.95,12.55,10.0,0.41,0.0,1030.14,11.59,319.0,-1.0,-4.0,30.0,2.0,20.0,-2.0,-6.0,-1.0,-3.0,-2.0,-6.0,2.0,-2.0,14.0,-3.0,-5.0,-1.0,1.0,-4.0,11.0,1440,1440,1440,1440,1440,10.0,0.0,-1.0,-7.0,136.0,1440,1440,1440,1440,1440,44.0,-2.0,9.0,11.0,-2.0,64.0,10.0,-6.0,23.0,100.0,0.0,-6.0,15.0,38.0,10.0,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
0.0,33.95,12.55,10.0,0.41,0.0,1030.14,11.59,319.0,-1.0,-4.0,30.0,2.0,20.0,-2.0,-6.0,-1.0,-3.0,-2.0,-6.0,2.0,-2.0,14.0,-3.0,-5.0,-1.0,1.0,-4.0,11.0,1440,1440,1440,1440,1440,10.0,0.0,-1.0,-7.0,136.0,1440,1440,1440,1440,1440,44.0,-2.0,9.0,11.0,-2.0,64.0,10.0,-6.0,23.0,100.0,0.0,-6.0,15.0,38.0,10.0,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
