City,city_Longview_TX:1.000000
CWA,locatedIn,state_WI:1.000000
Airport,DTW:1.000000
dep_2010-01-04_67,hasFlight,Flight67:1.000000
dep_2010-01-31_1927,hasOrigin,ATL:1.000000
dep_2010-01-25_67,hasCarrier,DL:1.000000
Airport,DVL:1.000000
BLI,locatedIn,state_WA:1.000000
Foggy,meteo_2010_2010-01-22T02:1.000000
Foggy,meteo_2010_2010-01-22T01:1.000000
Departure,dep_2010-01-19_1927:1.000000
Foggy,meteo_2010_2010-01-22T04:1.000000
Foggy,meteo_2010_2010-01-22T03:1.000000
ABR,locatedIn,city_Aberdeen_SD:1.000000
City,city_Akron_OH:1.000000
Foggy,meteo_2010_2010-01-22T00:1.000000
Foggy,meteo_2010_2010-01-22T09:1.000000
Foggy,meteo_2010_2010-01-22T06:1.000000
Foggy,meteo_2010_2010-01-22T05:1.000000
DTW,serveCity,city_Detroit_MI:1.000000
Foggy,meteo_2010_2010-01-22T08:1.000000
Foggy,meteo_2010_2010-01-22T07:1.000000
LGA,locatedIn,state_NY:1.000000
City,city_Manchester_NH:1.000000
dep_2010-01-13_1927,hasFlight,Flight1927:1.000000
dep_2010-01-14_1927,hasCarrier,DL:1.000000
dep_2010-01-10_1927,hasCarrier,DL:1.000000
GeoLocation,GGG:1.000000
Foggy,meteo_2010_2010-01-22T10:1.000000
Foggy,meteo_2010_2010-01-22T19:1.000000
GNV,serveCity,city_Gainesville_FL:1.000000
LGA,serveCity,city_New_York_NY:1.000000
GeoLocation,city_Fairbanks_AK:1.000000
DSM,locatedIn,state_IA:1.000000
ECP,locatedIn,city_Panama_City_FL:1.000000
Departure,dep_2010-01-29_1923:1.000000
GeoLocation,GFK:1.000000
ArrOnTime,dep_2010-01-14_1927:1.000000
ArrOnTime,dep_2010-01-14_1923:1.000000
EWN,locatedIn,state_NC:1.000000
city_Wichita_KS,locatedIn,state_KS:1.000000
GeoLocation,GEG:1.000000
Departure,dep_2010-01-19_1923:1.000000
PUB,serveCity,city_Pueblo_CO:1.000000
GUC,serveCity,city_Gunnison_CO:1.000000
EWR,locatedIn,state_NJ:1.000000
Weather,meteo_2010_2010-01-04T18:1.000000
Weather,meteo_2010_2010-01-04T19:1.000000
Weather,meteo_2010_2010-01-04T16:1.000000
Weather,meteo_2010_2010-01-04T17:1.000000
GeoLocation,city_Joplin_MO:1.000000
Weather,meteo_2010_2010-01-04T10:1.000000
Weather,meteo_2010_2010-01-04T11:1.000000
Weather,meteo_2010_2010-01-04T14:1.000000
Weather,meteo_2010_2010-01-04T15:1.000000
Weather,meteo_2010_2010-01-04T12:1.000000
Weather,meteo_2010_2010-01-04T13:1.000000
PLN,serveCity,city_Pellston_MI:1.000000
Weather,meteo_2010_2010-01-04T07:1.000000
Weather,meteo_2010_2010-01-04T08:1.000000
Weather,meteo_2010_2010-01-04T05:1.000000
ELP,serveCity,city_El_Paso_TX:1.000000
Weather,meteo_2010_2010-01-04T06:1.000000
Weather,meteo_2010_2010-01-04T09:1.000000
Weather,meteo_2010_2010-01-04T00:1.000000
DepOnTime,dep_2010-01-13_1923:1.000000
Weather,meteo_2010_2010-01-04T03:1.000000
dep_2010-01-14_1923,hasCarrier,DL:1.000000
Weather,meteo_2010_2010-01-04T04:1.000000
Weather,meteo_2010_2010-01-04T01:1.000000
DepOnTime,dep_2010-01-13_1927:1.000000
Weather,meteo_2010_2010-01-04T02:1.000000
dep_2010-01-26_1927,hasCarrier,DL:1.000000
Weather,meteo_2010_2010-01-28T07:1.000000
Weather,meteo_2010_2010-01-28T08:1.000000
Weather,meteo_2010_2010-01-28T09:1.000000
city_Islip_NY,locatedIn,state_NY:1.000000
