,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27,Month
126,2010-02-16,DL,67,ATL,DFW,1630,1627.0,-3.0,20.0,1647.0,1749.0,5.0,1805,1754.0,-11.0,0.0,,0.0,155.0,147.0,122.0,732.0,,,,,,,02
127,2010-02-16,DL,1923,ATL,DFW,1505,1557.0,52.0,23.0,1620.0,1714.0,10.0,1636,1724.0,48.0,0.0,,0.0,151.0,147.0,114.0,732.0,48.0,0.0,0.0,0.0,0.0,,02
128,2010-02-16,DL,1927,ATL,DFW,1745,1745.0,0.0,24.0,1809.0,1905.0,12.0,1915,1917.0,2.0,0.0,,0.0,150.0,152.0,116.0,732.0,,,,,,,02
129,2010-02-17,DL,67,ATL,DFW,1630,1629.0,-1.0,16.0,1645.0,1750.0,13.0,1805,1803.0,-2.0,0.0,,0.0,155.0,154.0,125.0,732.0,,,,,,,02
130,2010-02-17,DL,1923,ATL,DFW,1505,1503.0,-2.0,23.0,1526.0,1623.0,9.0,1636,1632.0,-4.0,0.0,,0.0,151.0,149.0,117.0,732.0,,,,,,,02
131,2010-02-17,DL,1927,ATL,DFW,1745,1746.0,1.0,10.0,1756.0,1848.0,6.0,1915,1854.0,-21.0,0.0,,0.0,150.0,128.0,112.0,732.0,,,,,,,02
132,2010-02-18,DL,67,ATL,DFW,1630,1624.0,-6.0,24.0,1648.0,1748.0,8.0,1805,1756.0,-9.0,0.0,,0.0,155.0,152.0,120.0,732.0,,,,,,,02
133,2010-02-18,DL,1923,ATL,DFW,1505,1508.0,3.0,32.0,1540.0,1643.0,5.0,1636,1648.0,12.0,0.0,,0.0,151.0,160.0,123.0,732.0,,,,,,,02
134,2010-02-18,DL,1927,ATL,DFW,1745,1752.0,7.0,26.0,1818.0,1920.0,5.0,1915,1925.0,10.0,0.0,,0.0,150.0,153.0,122.0,732.0,,,,,,,02
135,2010-02-19,DL,67,ATL,DFW,1630,1640.0,10.0,18.0,1658.0,1802.0,6.0,1805,1808.0,3.0,0.0,,0.0,155.0,148.0,124.0,732.0,,,,,,,02
136,2010-02-19,DL,1923,ATL,DFW,1505,1503.0,-2.0,18.0,1521.0,1621.0,5.0,1636,1626.0,-10.0,0.0,,0.0,151.0,143.0,120.0,732.0,,,,,,,02
137,2010-02-19,DL,1927,ATL,DFW,1745,1741.0,-4.0,27.0,1808.0,1907.0,4.0,1915,1911.0,-4.0,0.0,,0.0,150.0,150.0,119.0,732.0,,,,,,,02
138,2010-02-20,DL,67,ATL,DFW,1630,1629.0,-1.0,16.0,1645.0,1740.0,6.0,1803,1746.0,-17.0,0.0,,0.0,153.0,137.0,115.0,732.0,,,,,,,02
